
	Material	Material Description
	      Unrestricted	Unit

	T00379	9198 FITTING REDUCER, 3/8" WITH 1/4" RUN
	               39	ST


	T00381	S1012 SUORA JATKO 10x12 MM , RIO 30
	               14	ST


	T00382	S1013 SUORA JATKO 10x13 MM, RIO 30
	                7	ST


	T00384	S795 SUORA JATKO 7LK x 9,5 MM SILEÄ,J-G
	              174	ST


	T00385	S1095 SUORA JATKO 10LK x 9,5 MM SILEÄ,JG
	              239	ST


	T00387	1-14-1-0004 FITTING 5,5-6,3MM SS
	              356	ST


	T00389	S9012 FITTING 10-7mm
	              409	ST


	T00390	L7 L-LIITIN 7x7 MM, RST
	              209	ST


	T00391	4013-25 STRAIGHT FITTING,StSt, 140 MM LO
	              113	ST


	T00392	4048 STRAIGHT FITTING, StSt, 10 MM
	            1.004	ST


	T00393	S555 SUORA JATKOLIITIN 5,5x5,5 MM, RST
	               28	ST


	T00394	9006 FITTING -T, 7mm, SS
	              248	ST


	T00395	HUOM ! TÄTÄ EI TULLUT AIEMMIN, ONKO SAAT
	               29	ST


	T00396	SS FITTING-I-7MM
	              244	ST


	T00397	T9007 T-10, ECONOMY LINE
	              202	ST


	T00398	9019 U-BEND, StSt 10 MM
	              281	ST


	T00399	9014 U-7
	              195	ST


	T00400	9005 SS FITTING -L, 10 MM
	              250	ST


	T00401	L795 L-LIITIN 7LKx9,5 MM SILEÄ J-G
	               36	ST


	T00402	L1095 L-LIITIN 10LKx9,5 MM SILEÄ J-G
	              116	ST


	T00403	50 096 301 FITTING -U,SS, 9,5MM
	               32	ST


	T00412	22697 INSULATION F. SODAPUMP
	               93	ST


	T00421	PPN10T LETKUKARA 10 MM + KAKSOISNIPPA +
	                6	ST


	T00457	LATTATIIVISTE CO2-PAINELETKULLE, NAILON
	               35	ST


	T00492	ERISTELEVY 1,0 Mx1,0 Mx13 MM, MUSTA
	                6	ST


	T00493	3028 BLIND PLUG -3/8", SS
	               58	ST


	T00494	JGPM0808R JOHN GUEST TULPPA, 8 MM, PUN.
	                3	ST


	T00500	PH10-93-DB NOZZLE, SERIES II, PEPSI,BLUE
	               34	ST


	T00503	PH10-140 W-B VERTICAL BARGUN HOLDER
	               13	ST


	T00504	PH10-20 STEM O-RING
	              740	ST


	T00505	PH10-47 DIET RESISTANT CORK O-RING
	              105	ST


	T00509	INPUT FITTING 1/4", WUNDERBAR
	              252	ST


	T00514	BUTTON CAP, WUNDERBAR
	              674	ST


	T00516	PAINIKKEEN POHJA, SODA / WATER
	               30	ST


	T00519	JOUSI VENTTIILIIN, WUNDERBAR
	                5	ST


	T00522	PH10-8 BUTTERFLY RETAINER
	              103	ST


	T00523	PH10-84 MOLDED SYRUP SEPARATOR GASKET
	               18	ST


	T00524	PH10-30 DIFFUSER O-RING - SERIES II
	               25	ST


	T00526	PH14-30 DIFFUSER O-RING - SERIES 2,5&III
	               50	ST


	T00527	PH10-60-DB TWIST LOCK NOZZLE, PEPSI,BLUE
	               62	ST


	T00532	M4-FR-PARTS M4 FLOW REGULATOR KIT, M4-FR
	                2	ST


	T00535	PH10-20 STEM O-RING
	              515	ST


	T00597	9095 Y-FITTING 10x10x10 MM, StSt
	              303	ST


	T00602	OLUTHANAN KULMALIITIN MUTTERILLA, R1/4"
	               23	ST


	T00609	8007 WASHER-WHITE
	               96	ST


	T00610	8008 (34 0002S) WASHER, RED -7/16"
	               73	ST


	T00612	3200736-n GASKET-PREMIUM, N2
	              150	ST


	T00613	3100341 CENTER PIECE-PREMIUM REG/HOSE
	               45	ST


	T00632	FITTING-Y-7-9,5-7MM,SS 50095328
	              150	ST


	T00643	TIPPA-ALLAS RITILÄLLÄ, WUNDERBAR, RST 1,
	               33	ST


	T00644	PISTOOLITELINE WUNDERBAR, RST, 1,5 MM
	               74	ST


	T00672	CPC PIKALIITIN RUNKO 1/4"LK, MUOVIA
	               13	ST


	T00673	CPC PIKALIITIN PISTOKE 1/4"LK, MUOVIA
	                2	ST


	T00675	CPC PIKALIITIN RUNKO 3/8" LK, MUOVIA
	               34	ST


	T00676	CPC PIKALIITIN PISTOKE 3/8"LK, MUOVIA
	               10	ST


