
	Material	Material Description
	      Unrestricted	Unit

	V02257	CO2K CO2-PULLON KIINNITYSTELINE, RST
	               52	ST


	V02258	SPANNER SW30/32 - CO2/N2 SPANNER
	                1	ST


	V02295	2g3-019 CLEANING ADAPTOR -G-SYSTEM
	               20	ST


	V02340	792-315 REGULATOR-PREM.PR2 0-6/4b+P
	               12	ST


	V02351	791-232 REGULATOR PREM. PLUS SR1,0-6/4ba
	               46	ST


	V02353	791-243 REGULATOR-PREM. PLUS PR2,0-6/4BA
	               33	ST


	V02355	REGULATOR-PREMIUM PLUS PR1,0-6/4BAR
	               19	ST


	V02356	CO2-REGULATOR - PREM. PR2 0-10/7 BAR
	               31	ST


	V02359	RANCO, JÄÄPANKKITERMOSTAATTI 016-H6999
	                3	ST


	V02360	FLOWMETER, SCAN 335,(7,5mm/4mm)
	               74	ST


	V02364	791-244 REGULATOR PREMIUM PLUS,0-10/7BAR
	               26	ST


	V02367	TERMOSTAATTI RANCO K50-P5551-000 JÄÄPANK
	               18	ST


	V02387	PUH.MOOTT.10 W + KIINN.KEH. ROC-4
	                1	ST


	V02388	PUH.MOOTT.+ KIINN.KEH. 250 MM, ROC-5
	                1	ST


	V02407	MUUNTAJA BCS-10 LAITTEELLE, MASCOT 9123
	               18	ST


	V02418	ILMAUSVENTTIILI KOKONAISUUS, OLUTHÄLY
	               10	ST


	V02425	BIB VENT ASSEMBLY  - GEN II
	              221	ST


	V02433	MUOVIKAHVA + MEDALJONKI, KIERRE W3/8"
	               13	ST


	V02447	TIPPA-ASTIA 2:LLE HANALLE, T-4 HANASTO
	               47	ST


	V02451	1206021C005.000 Digital Medallion 69mm
	                1	ST


	V02452	BEER TAP 1805QUIXMEN.000
	                2	ST


	V02453	781-002/S103 TAP-C-TAP,SS,COMPENSATOR
	               76	ST


	V02454	TIPPA-ASTIA SK III, SÄÄD., T-3 HANASTO
	               54	ST


	V02458	BEER TAP FLUX STAINLESS STEEL AISI 316 L
	               11	ST


	V02483	TIPPA-ASTIA 1-OS., SÄÄTÖ TAKAA, RST
	                1	ST


	V03000	GXX246, MK2 FOBSAFE FOB DETECTOR 2004
	               69	ST


	V03001	KEG COUPLER-S-SYSTEM, SS
	               28	ST


	V03004	2s2-071 CLEANING ADAPTOR -S-SYSTEM
	               19	ST


	V03007	775-024 HP HOSE-1/4"NPT, W24,32, N2 1,2M
	               12	ST


	V03009	GUINNESS MIXED GAS REDUCER
	               48	ST


	V03010	SPANNER ,  CO2/N2
	               25	ST


	V03018	DISPENSE HEAD A-SYSTEM, STAINLESS STEEL
	                2	ST


	V03019	2a1-020 CLEANING ADAPTER-A-SYSTEM
	               17	ST


	V03054	P0003894-A TEMP.BADGE CELCIUS "ENJOY RES
	               10	ST


	V03057	781-005/S103 TAP-C-TAP,SS,FOAM & SPRING
	               17	ST


	V04000	600779 DISPENSE HANDTOOL, DAVID
	               37	ST


	V04001	600778 GAS RED CO2 0,7BAR W21,8 G1/4
	               28	ST


	V04004	HNK-P0000413-c BONE BRANDABLE COUNTRM.
	               28	ST


	V04005	PF000006-A DISPENSE TAP DAVID-15 DEGREE
	               24	ST


	V04010	P0003668-A DAVID CG THERMOSTAT KIT
	                5	ST


	V04011	P0003671-A DAVID CG POWERSUPPLY AC-DC
	               14	ST


	V04012	P0003666-A AKSIAL FAN DC
	                6	ST


	V04013	P0003665-A BLOWER FAN
	                1	ST


	V05000	GXX346 FOB DETECTOR-TECFLO
	               82	ST


	V06002	440000117 AGITATOR MOTOR, LOOP
	                1	ST


	V06010	220081215S001 ELEC. BEVERAGE PUMP SHURFL
	                2	ST


	V06011	741000403 UFB1 1,5-3,0 LEVER SAN SERVICE
	               25	ST


	V06013	220094436 TRIP TRAY ASSY, LOOP
	               14	ST


	V07503	PUMPPU/SEK.MOOTTORI ROC-4/-5, SPC42
	                3	ST


	V07504	SEK.MOOTT.+ PUMPPU SPC51, ROC-3 BIERK.
	                6	ST


	V07507	SEKOITT.MOOTT. CABRICE, BIERKUHL, POST-M
	                1	ST


	V07508	PINNANSÄÄDIN HBC-4 /-5, BIERKUHL-HAPOTIN
	                2	ST


	V07513	PRESOSTAATTI CAPRICE, BIERKUHL
	                4	ST


	V07519	PINNANSÄÄDIN CR 9, CORNELIUS
	                1	ST


	V09019	PUHALLINMOOTT. 5 W, RITILÄKIINN., ABIKOT
	               25	ST


	V09020	PUHALLINMOOTT. 5 W, JOHTO 1,05 M, ELCO
	                6	ST


	V09024	PUHALLINMOOTT. 10 W , JOHTO 1,05 M, ELCO
	               76	ST


	V09029	KAPILLAARITERMOST.I, HELKAMA C5,C8,10, 2
	                4	ST


	V09032	TIMER-PIIRIKORTTI, HELKAMA C5, C8, C10
	               17	ST


	V09034	SISÄPUHALLINMOOTT. C2, PITKÄ MALLI, HELK
	                2	ST


	V09036	LAITETUULETIN, PIENI, HELKAMA C45, DP203
	                8	ST


	V09037	LAITETUULETIN, ISOMPI,  HELKAMA C45
	                5	ST


	V09059	MAINOSVALO, TÄYDELL. 14W , C5 JA C8
	               39	ST


	V09069	MAINOSVALO, TÄYDELL. 21W, C10, VM.2007
	               21	ST


	V09143	LED-MUUNTAJA, NORPE, ASTE 90/120CM
	               14	ST


	V09152	9931280010 EVAPORATOR S800 HC
	                1	ST


	V09155	TERMOSTAATTI ID 971 /  ID 974, ELIWELL
	                1	ST


	V09158	TERMOSTAATTI NRC-100, NORCON-90, NORPE
	                1	ST


	V09162	NÄYTTÖLAITE, NRC-100, NORCON-90, NORPE
	                2	ST


	V09195	9953900090 MEANWELL PLN 30W-24V, TRANSFO
	               14	ST


	V09205	PUHALLINMOOTTORI TGA 60/1, DERBY, UGUR
	                6	ST


	V09211	HUOLTOTERMOSTAATTI DANFOSS 8, JÄÄKAAPIT
	                6	ST


	V09300	9922362011 SHELF S76, WHITE INNERLINER,
	              272	ST


	V09301	9901361051 DOOR S76 BLK TARLE S4ELFCLOSI
	                5	ST


	V09302	9953420040 CAREL CTRL S800 RED DIPL.
	                4	ST


	V09304	9941730020 SMPS LED BAR , MV250 HC LED
	                6	ST


	V09305	9931730010 EVAPORATOR MV250 FRIGOGLASS
	                7	ST


	V09309	9922362010 SHELF S76, WHITE INNERLINER,
	                6	ST


	V09312	9922280101 SHELF S88, WHITE INNERLINER,
	              175	ST


	V09315	9980190010 KIT ELST CTRL PR23 REPL EMS25
	               18	ST


	V09324	9937280060 MOTOR W ECR82PX201, 12W, 1500
	                8	ST


	V09325	9937280070 MOTOR ATX ECR01BX242,16W,1300
	               11	ST


	V09403	4066378R01 ELECTRONIC CONTROLLER XR06CX
	                6	ST


	V09405	4070580R01 POWER SUPPLY UNIT
	                3	ST


	V09406	4041460R01 S/ASS'Y LIGHTING RAIL LED, RI
	                1	ST


	V09408	3625988R01 ELECTRONIC CONTROLLER ELIWELL
	                1	ST


	V20000	PUHALLINMOOTT. 7 W, 230 V, EBM-ZIEHL
	                2	ST


	V20004	L137312-2 DOOR MECHN. HARNESS, V-544 MD
	                9	ST


	V20031	396072 DELIVERY DOOR, -544LS
	                5	ST


	V20032	394151-6 ISOLATION, -544LS
	                1	ST


	V20033	L392713 TRANSFORMER CIC204
	                4	ST


	V20034	PN144408 ELECTRONIC BALLAST, 2x58 WATT
	               41	ST


	V20085	L137321 LOWER COIN CHUTE ASSY, V-544 LS
	               17	ST


	V20087	L397216-4  COIN  INSERT BODY BLUE
	               34	ST


	V20109	L395882 EVAPORATOR, VENDO 544 LS
	               30	ST


	V20110	L398280 EVAPORATOR ASSY, VENDO 476-7
	                1	ST


	V35002	708654 BIB CONNECTOR-WINE, VITOP
	               20	ST


	V35157	LINJANVAIHTAJA FLOJET, B-I-B, 1500-030A
	               30	ST


	V37107	MAC-415 ALKOANTURI 6/6 MCV, WWB DRINK SY
	                1	ST


	V40000	EVERPURE VESIHANA 9970-33 ( JÄÄVEDELLE )
	                6	ST


	V40008	QL3 RUNKO VESISUODATTIMEEN, EVERPURE
	               17	ST


	V40010	1157889 WATER FILTER 3M, HF90, 0,2 um 18
	                8	ST


	V40018	EV969221 EVERPURE-4FC CARTRIDGE
	               28	ST


	V40069	KUMITIIVISTE BIER-DRIVE TANKKILIITTIMEEN
	               48	ST


	V40097	0190700 MANNLOCHDICTUNG
	                4	ST


	V40100	LEGRIS NORMAL CLOSED 1/2" BSP, 235-3362
	                2	ST


	V41405	PROCON-PUMPUN SULKUPAKETTI, KASATTUNA
	               18	ST


	V41657	MULTIPEX PUTKI ROTH 12x2,0 60m/PK
	              356	M


	V41800	20096 WATER PRESSURE REGULATOR
	               20	ST


	V46400	6124-0099 TRANSFORMER -24v 150VA
	                2	ST


	V46407	SUOJAMUUNTAJA 230/24 V, 60 VA, IP-43
	                2	ST


	V46605	KUMIKAAPELI VSB-ATON 3x1,5S MM2, MUSTA
	               97	M


	V46617	TAIPUISA LIITÄNTÄKAAPELI MSK 3X1,5 S, VA
	                9	M


	V46634	KAAPELI MSO 2x0,75MM2, VALK., LITTEÄ
	              400	M


	V46706	POD-5 KAAPELI, 6-NAP. HARMAA
	               50	M


	V46707	PRESSURE REGULATOR 15 PSI 01752352C
	               44	ST


	V46708	SOLD OUT SWITCH  SPIRE1.1
	               44	ST


	V46709	SPIRE NOZZLE UNIFORM FLOW SERIES 2.5 SIL
	                8	ST


	V46712	SCREEN ASSEMBLY TOWER SPIRE 1.1
	                1	ST


	V46714	BT-500-PS SD CARD -PEPSI SPIRE
	                5	ST


	V46716	SOLENOID MODULE #1- MOLDED
	               20	ST


	V46717	SOLENOID MODULE #2 SPIRE 1.1
	               20	ST


	V46719	P0002503-A WIRING FOR LIGHT
	              450	ST


	V46720	ADA KEY PAD MODULE SEALED SPIRE 1.1
	                4	ST


	V46721	P0003807-C DAVID IP2 FRIDGE PARTS
	               31	ST


	V46722	GLASS RINSER VALVE, COMPLETE
	               11	ST


	V46723	POWER SWITCH SPIRE EP-SW-4
	                6	ST


	V48911	VINSERVICE STOUT TAP FOR ARROW
	               17	ST


	V48912	NOZZLE FOR ALBI P1016921
	               23	ST


	V48913	SOLENOID VALVE SPIRE 1.1
	                9	ST


	V48922	Aste, M-casset (Dixell, old)  A10-0501
	                5	ST


	V48923	805660ks CLEANING SPEAR-G-SYSTEM,5L
	                5	ST


	V48924	801222ks CLEANING BOTTLE-5L, PLASTIC
	                9	ST


	V48926	2u2-018 CLEANING ADAPTOR U-SYSTEM
	               19	ST


	V48927	0601302022 GUINNESS GATE TAP
	               11	ST
